timestamp,RUS_id,question_id,response
2025-11-10T22:08:50.969915+00:00,RUS_001,1,No opinion
2025-11-10T22:08:52.549134+00:00,RUS_001,2,Good
2025-11-10T22:08:53.973729+00:00,RUS_001,3,Fair/Poor
2025-11-10T22:08:54.451441+00:00,RUS_001,4,Fair/Poor
2025-11-10T22:08:57.456023+00:00,RUS_001,5,Good
2025-11-10T22:08:57.892310+00:00,RUS_002,1,Wrong direction
2025-11-10T22:08:58.810256+00:00,RUS_002,2,Good
2025-11-10T22:08:59.885969+00:00,RUS_002,3,Good
2025-11-10T22:09:00.638140+00:00,RUS_002,4,Fair/Poor
2025-11-10T22:09:01.240830+00:00,RUS_002,5,Fair/Poor
2025-11-10T22:09:02.381496+00:00,RUS_003,1,No opinion
2025-11-10T22:09:02.865711+00:00,RUS_003,2,Fair/Poor
2025-11-10T22:09:03.656435+00:00,RUS_003,3,Fair/Poor
2025-11-10T22:09:05.177221+00:00,RUS_003,4,Fair/Poor
2025-11-10T22:09:05.606343+00:00,RUS_003,5,Fair/Poor
2025-11-10T22:09:06.076776+00:00,RUS_004,1,Wrong direction
2025-11-10T22:09:06.683752+00:00,RUS_004,2,Good
2025-11-10T22:09:07.610466+00:00,RUS_004,3,Fair/Poor
2025-11-10T22:09:08.890832+00:00,RUS_004,4,Good
2025-11-10T22:09:09.549334+00:00,RUS_004,5,Fair/Poor
2025-11-10T22:09:10.161564+00:00,RUS_005,1,Wrong direction
2025-11-10T22:09:11.314992+00:00,RUS_005,2,Good
2025-11-10T22:09:12.418303+00:00,RUS_005,3,Fair/Poor
2025-11-10T22:09:13.227270+00:00,RUS_005,4,Fair/Poor
2025-11-10T22:09:14.751963+00:00,RUS_005,5,Fair/Poor
2025-11-10T22:09:15.311474+00:00,RUS_006,1,Wrong direction
2025-11-10T22:09:15.826859+00:00,RUS_006,2,Good
2025-11-10T22:09:16.554331+00:00,RUS_006,3,Good
2025-11-10T22:09:17.502839+00:00,RUS_006,4,Fair/Poor
2025-11-10T22:09:19.467134+00:00,RUS_006,5,Fair/Poor
2025-11-10T22:09:19.990655+00:00,RUS_007,1,No opinion
2025-11-10T22:09:20.464118+00:00,RUS_007,2,Good
2025-11-10T22:09:21.167666+00:00,RUS_007,3,Fair/Poor
2025-11-10T22:09:21.882355+00:00,RUS_007,4,Fair/Poor
2025-11-10T22:09:23.986523+00:00,RUS_007,5,Fair/Poor
2025-11-10T22:09:25.485018+00:00,RUS_008,1,No opinion
2025-11-10T22:09:26.066338+00:00,RUS_008,2,Good
2025-11-10T22:09:27.165144+00:00,RUS_008,3,Fair/Poor
2025-11-10T22:09:28.132467+00:00,RUS_008,4,Good
2025-11-10T22:09:29.479477+00:00,RUS_008,5,Fair/Poor
2025-11-10T22:09:30.302309+00:00,RUS_009,1,Right direction
2025-11-10T22:09:30.866654+00:00,RUS_009,2,Good
2025-11-10T22:09:31.853420+00:00,RUS_009,3,Good
2025-11-10T22:09:32.423112+00:00,RUS_009,4,Good
2025-11-10T22:09:32.912062+00:00,RUS_009,5,Fair/Poor
2025-11-10T22:09:33.554316+00:00,RUS_010,1,Wrong direction
2025-11-10T22:09:34.648767+00:00,RUS_010,2,Fair/Poor
2025-11-10T22:09:35.479593+00:00,RUS_010,3,Fair/Poor
2025-11-10T22:09:36.312835+00:00,RUS_010,4,Fair/Poor
2025-11-10T22:09:36.903860+00:00,RUS_010,5,Fair/Poor
2025-11-10T22:09:37.670868+00:00,RUS_011,1,Right direction
2025-11-10T22:09:39.473308+00:00,RUS_011,2,Good
2025-11-10T22:09:40.516927+00:00,RUS_011,3,Good
2025-11-10T22:09:41.650851+00:00,RUS_011,4,Good
2025-11-10T22:09:44.896968+00:00,RUS_011,5,Fair/Poor
2025-11-10T22:09:45.613024+00:00,RUS_012,1,Wrong direction
2025-11-10T22:09:46.663839+00:00,RUS_012,2,Good
2025-11-10T22:09:47.099137+00:00,RUS_012,3,Good
2025-11-10T22:09:48.386574+00:00,RUS_012,4,Good
2025-11-10T22:09:49.090497+00:00,RUS_012,5,Fair/Poor
2025-11-10T22:09:49.718327+00:00,RUS_013,1,Wrong direction
2025-11-10T22:09:50.217755+00:00,RUS_013,2,Good
2025-11-10T22:09:51.202087+00:00,RUS_013,3,Fair/Poor
2025-11-10T22:09:51.770905+00:00,RUS_013,4,Fair/Poor
2025-11-10T22:09:52.387929+00:00,RUS_013,5,Fair/Poor
2025-11-10T22:09:53.631989+00:00,RUS_014,1,Wrong direction
2025-11-10T22:09:54.676978+00:00,RUS_014,2,Good
2025-11-10T22:09:55.039337+00:00,RUS_014,3,Good
2025-11-10T22:09:56.153565+00:00,RUS_014,4,Good
2025-11-10T22:09:56.680779+00:00,RUS_014,5,Fair/Poor
2025-11-10T22:09:58.829224+00:00,RUS_015,1,Wrong direction
2025-11-10T22:09:59.537997+00:00,RUS_015,2,Good
2025-11-10T22:10:00.202143+00:00,RUS_015,3,Fair/Poor
2025-11-10T22:10:01.062913+00:00,RUS_015,4,Fair/Poor
2025-11-10T22:10:01.807641+00:00,RUS_015,5,Fair/Poor
2025-11-10T22:10:02.499724+00:00,RUS_016,1,Wrong direction
2025-11-10T22:10:02.873865+00:00,RUS_016,2,Good
2025-11-10T22:10:03.329637+00:00,RUS_016,3,Fair/Poor
2025-11-10T22:10:03.840731+00:00,RUS_016,4,Good
2025-11-10T22:10:05.390910+00:00,RUS_016,5,Fair/Poor
2025-11-10T22:10:05.817217+00:00,RUS_017,1,Wrong direction
2025-11-10T22:10:06.888261+00:00,RUS_017,2,Good
2025-11-10T22:10:07.462963+00:00,RUS_017,3,Good
2025-11-10T22:10:08.137369+00:00,RUS_017,4,Fair/Poor
2025-11-10T22:10:09.493526+00:00,RUS_017,5,Fair/Poor
2025-11-10T22:10:10.106553+00:00,RUS_018,1,Wrong direction
2025-11-10T22:10:11.015077+00:00,RUS_018,2,Fair/Poor
2025-11-10T22:10:12.702515+00:00,RUS_018,3,Fair/Poor
2025-11-10T22:10:13.588236+00:00,RUS_018,4,Fair/Poor
2025-11-10T22:10:14.261019+00:00,RUS_018,5,Fair/Poor
2025-11-10T22:10:14.893175+00:00,RUS_019,1,Wrong direction
2025-11-10T22:10:15.786609+00:00,RUS_019,2,Good
2025-11-10T22:10:16.351120+00:00,RUS_019,3,Fair/Poor
2025-11-10T22:10:17.108590+00:00,RUS_019,4,Fair/Poor
2025-11-10T22:10:17.695709+00:00,RUS_019,5,Fair/Poor
2025-11-10T22:10:18.281574+00:00,RUS_020,1,Wrong direction
2025-11-10T22:10:19.062491+00:00,RUS_020,2,Good
2025-11-10T22:10:19.603722+00:00,RUS_020,3,Fair/Poor
2025-11-10T22:10:20.267546+00:00,RUS_020,4,Fair/Poor
2025-11-10T22:10:20.802850+00:00,RUS_020,5,Fair/Poor
2025-11-10T22:10:21.443978+00:00,RUS_021,1,Wrong direction
2025-11-10T22:10:22.086829+00:00,RUS_021,2,Fair/Poor
2025-11-10T22:10:22.656744+00:00,RUS_021,3,Fair/Poor
2025-11-10T22:10:23.321435+00:00,RUS_021,4,Fair/Poor
2025-11-10T22:10:23.907936+00:00,RUS_021,5,Good
2025-11-10T22:10:24.439877+00:00,RUS_022,1,Wrong direction
2025-11-10T22:10:25.078129+00:00,RUS_022,2,Good
2025-11-10T22:10:25.884085+00:00,RUS_022,3,Good
2025-11-10T22:10:26.582961+00:00,RUS_022,4,Good
2025-11-10T22:10:27.370567+00:00,RUS_022,5,Fair/Poor
2025-11-10T22:10:28.034060+00:00,RUS_023,1,Wrong direction
2025-11-10T22:10:28.583377+00:00,RUS_023,2,Good
2025-11-10T22:10:29.382888+00:00,RUS_023,3,Fair/Poor
2025-11-10T22:10:29.945917+00:00,RUS_023,4,Fair/Poor
2025-11-10T22:10:30.720912+00:00,RUS_023,5,Fair/Poor
2025-11-10T22:10:32.336947+00:00,RUS_024,1,Wrong direction
2025-11-10T22:10:32.862682+00:00,RUS_024,2,Good
2025-11-10T22:10:33.576678+00:00,RUS_024,3,Fair/Poor
2025-11-10T22:10:35.052273+00:00,RUS_024,4,Good
2025-11-10T22:10:36.689725+00:00,RUS_024,5,Fair/Poor
2025-11-10T22:10:37.181103+00:00,RUS_025,1,Wrong direction
2025-11-10T22:10:37.748960+00:00,RUS_025,2,Good
2025-11-10T22:10:38.282368+00:00,RUS_025,3,Fair/Poor
2025-11-10T22:10:38.810320+00:00,RUS_025,4,Good
2025-11-10T22:10:39.394408+00:00,RUS_025,5,Fair/Poor
2025-11-10T22:10:39.870188+00:00,RUS_026,1,No opinion
2025-11-10T22:10:40.489046+00:00,RUS_026,2,Good
2025-11-10T22:10:44.276389+00:00,RUS_026,3,Fair/Poor
2025-11-10T22:10:45.146848+00:00,RUS_026,4,Fair/Poor
2025-11-10T22:10:46.580277+00:00,RUS_026,5,Fair/Poor
2025-11-10T22:10:47.248768+00:00,RUS_027,1,Wrong direction
2025-11-10T22:10:47.917331+00:00,RUS_027,2,Fair/Poor
2025-11-10T22:10:48.621442+00:00,RUS_027,3,Fair/Poor
2025-11-10T22:10:49.044117+00:00,RUS_027,4,Fair/Poor
2025-11-10T22:10:49.557635+00:00,RUS_027,5,Excellent/Very good
2025-11-10T22:10:50.076975+00:00,RUS_028,1,Right direction
2025-11-10T22:10:50.889997+00:00,RUS_028,2,Good
2025-11-10T22:10:53.012282+00:00,RUS_028,3,Good
2025-11-10T22:10:53.524611+00:00,RUS_028,4,Good
2025-11-10T22:10:54.896150+00:00,RUS_028,5,Fair/Poor
2025-11-10T22:10:55.446660+00:00,RUS_029,1,No opinion
2025-11-10T22:10:56.298479+00:00,RUS_029,2,Good
2025-11-10T22:10:57.358681+00:00,RUS_029,3,Fair/Poor
2025-11-10T22:10:58.045226+00:00,RUS_029,4,Good
2025-11-10T22:10:59.048964+00:00,RUS_029,5,Fair/Poor
2025-11-10T22:10:59.737909+00:00,RUS_030,1,Wrong direction
2025-11-10T22:11:00.808899+00:00,RUS_030,2,Fair/Poor
2025-11-10T22:11:01.402436+00:00,RUS_030,3,Fair/Poor
2025-11-10T22:11:01.907082+00:00,RUS_030,4,Good
2025-11-10T22:11:02.410132+00:00,RUS_030,5,Fair/Poor
2025-11-10T22:11:03.407935+00:00,RUS_031,1,Wrong direction
2025-11-10T22:11:03.897041+00:00,RUS_031,2,Good
2025-11-10T22:11:04.524454+00:00,RUS_031,3,Fair/Poor
2025-11-10T22:11:05.143700+00:00,RUS_031,4,Good
2025-11-10T22:11:05.790992+00:00,RUS_031,5,Excellent/Very good
2025-11-10T22:11:08.166125+00:00,RUS_032,1,Wrong direction
2025-11-10T22:11:08.698922+00:00,RUS_032,2,Good
2025-11-10T22:11:09.677115+00:00,RUS_032,3,Fair/Poor
2025-11-10T22:11:10.202425+00:00,RUS_032,4,Fair/Poor
2025-11-10T22:11:10.716815+00:00,RUS_032,5,Fair/Poor
2025-11-10T22:11:11.425391+00:00,RUS_033,1,No opinion
2025-11-10T22:11:12.251632+00:00,RUS_033,2,Good
2025-11-10T22:11:13.570401+00:00,RUS_033,3,Good
2025-11-10T22:11:13.909136+00:00,RUS_033,4,Fair/Poor
2025-11-10T22:11:14.708720+00:00,RUS_033,5,Fair/Poor
2025-11-10T22:11:16.083281+00:00,RUS_034,1,Wrong direction
2025-11-10T22:11:16.786071+00:00,RUS_034,2,Fair/Poor
2025-11-10T22:11:17.365114+00:00,RUS_034,3,Fair/Poor
2025-11-10T22:11:18.465248+00:00,RUS_034,4,Good
2025-11-10T22:11:19.157150+00:00,RUS_034,5,Fair/Poor
2025-11-10T22:11:20.737327+00:00,RUS_035,1,Wrong direction
2025-11-10T22:11:21.397310+00:00,RUS_035,2,Good
2025-11-10T22:11:22.038209+00:00,RUS_035,3,Fair/Poor
2025-11-10T22:11:22.626898+00:00,RUS_035,4,Fair/Poor
2025-11-10T22:11:23.259534+00:00,RUS_035,5,Fair/Poor
2025-11-10T22:11:23.803021+00:00,RUS_036,1,Wrong direction
2025-11-10T22:11:24.693149+00:00,RUS_036,2,Good
2025-11-10T22:11:25.614651+00:00,RUS_036,3,Fair/Poor
2025-11-10T22:11:26.031688+00:00,RUS_036,4,Good
2025-11-10T22:11:26.753947+00:00,RUS_036,5,Fair/Poor
2025-11-10T22:11:27.361708+00:00,RUS_037,1,Wrong direction
2025-11-10T22:11:27.899734+00:00,RUS_037,2,Good
2025-11-10T22:11:28.493908+00:00,RUS_037,3,Fair/Poor
2025-11-10T22:11:29.921626+00:00,RUS_037,4,Fair/Poor
2025-11-10T22:11:30.601456+00:00,RUS_037,5,Fair/Poor
2025-11-10T22:11:31.286275+00:00,RUS_038,1,No opinion
2025-11-10T22:11:31.678564+00:00,RUS_038,2,Good
2025-11-10T22:11:32.442074+00:00,RUS_038,3,Good
2025-11-10T22:11:32.937332+00:00,RUS_038,4,Good
2025-11-10T22:11:34.352145+00:00,RUS_038,5,Fair/Poor
2025-11-10T22:11:35.151317+00:00,RUS_039,1,Wrong direction
2025-11-10T22:11:35.891262+00:00,RUS_039,2,Good
2025-11-10T22:11:37.160762+00:00,RUS_039,3,Fair/Poor
2025-11-10T22:11:37.632196+00:00,RUS_039,4,Fair/Poor
2025-11-10T22:11:38.222460+00:00,RUS_039,5,Not sure
2025-11-10T22:11:38.691957+00:00,RUS_040,1,Wrong direction
2025-11-10T22:11:39.297844+00:00,RUS_040,2,Good
2025-11-10T22:11:41.279683+00:00,RUS_040,3,Fair/Poor
2025-11-10T22:11:50.311726+00:00,RUS_040,4,Good
2025-11-10T22:11:51.086445+00:00,RUS_040,5,Fair/Poor
2025-11-10T22:11:54.734740+00:00,RUS_041,1,Wrong direction
2025-11-10T22:11:55.473337+00:00,RUS_041,2,Good
2025-11-10T22:11:56.781257+00:00,RUS_041,3,Fair/Poor
2025-11-10T22:11:57.341893+00:00,RUS_041,4,Fair/Poor
2025-11-10T22:11:57.933533+00:00,RUS_041,5,Fair/Poor
2025-11-10T22:11:58.445208+00:00,RUS_042,1,Wrong direction
2025-11-10T22:11:58.951061+00:00,RUS_042,2,Good
2025-11-10T22:11:59.729591+00:00,RUS_042,3,Fair/Poor
2025-11-10T22:12:00.201026+00:00,RUS_042,4,Good
2025-11-10T22:12:00.573251+00:00,RUS_042,5,Excellent/Very good
2025-11-10T22:12:00.939924+00:00,RUS_043,1,No opinion
2025-11-10T22:12:01.492909+00:00,RUS_043,2,Good
2025-11-10T22:12:02.333858+00:00,RUS_043,3,Fair/Poor
2025-11-10T22:12:03.157809+00:00,RUS_043,4,Fair/Poor
2025-11-10T22:12:03.862185+00:00,RUS_043,5,Fair/Poor
2025-11-10T22:12:04.529294+00:00,RUS_044,1,Right direction
2025-11-10T22:12:05.989161+00:00,RUS_044,2,Good
2025-11-10T22:12:06.807037+00:00,RUS_044,3,Fair/Poor
2025-11-10T22:12:07.446673+00:00,RUS_044,4,Fair/Poor
2025-11-10T22:12:08.214555+00:00,RUS_044,5,Fair/Poor
2025-11-10T22:12:08.601821+00:00,RUS_045,1,Wrong direction
2025-11-10T22:12:09.142486+00:00,RUS_045,2,Good
2025-11-10T22:12:09.701888+00:00,RUS_045,3,Fair/Poor
2025-11-10T22:12:10.374281+00:00,RUS_045,4,Good
2025-11-10T22:12:10.919406+00:00,RUS_045,5,Fair/Poor
2025-11-10T22:12:11.431039+00:00,RUS_046,1,Wrong direction
2025-11-10T22:12:13.130917+00:00,RUS_046,2,Good
2025-11-10T22:12:13.918814+00:00,RUS_046,3,Fair/Poor
2025-11-10T22:12:14.953477+00:00,RUS_046,4,Fair/Poor
2025-11-10T22:12:15.354227+00:00,RUS_046,5,Fair/Poor
2025-11-10T22:12:15.816256+00:00,RUS_047,1,No opinion
2025-11-10T22:12:16.482371+00:00,RUS_047,2,Good
2025-11-10T22:12:17.057993+00:00,RUS_047,3,Fair/Poor
2025-11-10T22:12:17.942236+00:00,RUS_047,4,Good
2025-11-10T22:12:18.617409+00:00,RUS_047,5,Fair/Poor
2025-11-10T22:12:19.205168+00:00,RUS_048,1,Wrong direction
2025-11-10T22:12:24.065246+00:00,RUS_048,2,Good
2025-11-10T22:12:25.022603+00:00,RUS_048,3,Fair/Poor
2025-11-10T22:12:25.818093+00:00,RUS_048,4,Good
2025-11-10T22:12:26.957912+00:00,RUS_048,5,Fair/Poor
2025-11-10T22:12:28.138013+00:00,RUS_049,1,Wrong direction
2025-11-10T22:12:29.176888+00:00,RUS_049,2,Fair/Poor
2025-11-10T22:12:29.841031+00:00,RUS_049,3,Fair/Poor
2025-11-10T22:12:30.265825+00:00,RUS_049,4,Fair/Poor
2025-11-10T22:12:31.620689+00:00,RUS_049,5,Fair/Poor
2025-11-10T22:12:32.402080+00:00,RUS_050,1,Wrong direction
2025-11-10T22:12:32.797121+00:00,RUS_050,2,Good
2025-11-10T22:12:33.454055+00:00,RUS_050,3,Fair/Poor
2025-11-10T22:12:34.027407+00:00,RUS_050,4,Good
