timestamp,RU_id,question_id,response
2025-11-11T17:32:49.396412+00:00,RU_001,1,Wrong direction
2025-11-11T17:32:50.004317+00:00,RU_001,2,Good
2025-11-11T17:32:50.723191+00:00,RU_001,3,Fair/Poor
2025-11-11T17:32:51.360139+00:00,RU_001,4,Fair/Poor
2025-11-11T17:32:52.359201+00:00,RU_001,5,Good
2025-11-11T17:32:53.654666+00:00,RU_002,1,Wrong direction
2025-11-11T17:32:54.407668+00:00,RU_002,2,Fair/Poor
2025-11-11T17:32:55.651104+00:00,RU_002,3,Good
2025-11-11T17:32:56.294981+00:00,RU_002,4,Fair/Poor
2025-11-11T17:32:57.073087+00:00,RU_002,5,Fair/Poor
2025-11-11T17:32:57.836822+00:00,RU_003,1,Wrong direction
2025-11-11T17:32:58.708493+00:00,RU_003,2,Good
2025-11-11T17:33:00.450082+00:00,RU_003,3,Good
2025-11-11T17:33:01.198597+00:00,RU_003,4,Good
2025-11-11T17:33:01.780335+00:00,RU_003,5,Fair/Poor
2025-11-11T17:33:02.501924+00:00,RU_004,1,Wrong direction
2025-11-11T17:33:03.213121+00:00,RU_004,2,Good
2025-11-11T17:33:03.829210+00:00,RU_004,3,Fair/Poor
2025-11-11T17:33:04.546695+00:00,RU_004,4,Fair/Poor
2025-11-11T17:33:05.084353+00:00,RU_004,5,Fair/Poor
2025-11-11T17:33:05.807000+00:00,RU_005,1,Wrong direction
2025-11-11T17:33:06.750766+00:00,RU_005,2,Good
2025-11-11T17:33:07.405723+00:00,RU_005,3,Fair/Poor
2025-11-11T17:33:07.935334+00:00,RU_005,4,Fair/Poor
2025-11-11T17:33:08.622132+00:00,RU_005,5,Fair/Poor
2025-11-11T17:33:09.415316+00:00,RU_006,1,Wrong direction
2025-11-11T17:33:10.074604+00:00,RU_006,2,Fair/Poor
2025-11-11T17:33:10.862945+00:00,RU_006,3,Fair/Poor
2025-11-11T17:33:11.608698+00:00,RU_006,4,Good
2025-11-11T17:33:12.327461+00:00,RU_006,5,Fair/Poor
2025-11-11T17:33:13.147576+00:00,RU_007,1,Wrong direction
2025-11-11T17:33:13.781182+00:00,RU_007,2,Good
2025-11-11T17:33:14.580856+00:00,RU_007,3,Fair/Poor
2025-11-11T17:33:15.092311+00:00,RU_007,4,Fair/Poor
2025-11-11T17:33:15.705676+00:00,RU_007,5,Fair/Poor
2025-11-11T17:33:16.422988+00:00,RU_008,1,Wrong direction
2025-11-11T17:33:17.140278+00:00,RU_008,2,Good
2025-11-11T17:33:17.747593+00:00,RU_008,3,Good
2025-11-11T17:33:19.364474+00:00,RU_008,4,Good
2025-11-11T17:33:20.293742+00:00,RU_008,5,Fair/Poor
2025-11-11T17:33:20.835537+00:00,RU_009,1,Wrong direction
2025-11-11T17:33:21.393708+00:00,RU_009,2,Good
2025-11-11T17:33:22.564914+00:00,RU_009,3,Good
2025-11-11T17:33:23.181363+00:00,RU_009,4,Good
2025-11-11T17:33:23.693105+00:00,RU_009,5,Fair/Poor
2025-11-11T17:33:24.512424+00:00,RU_010,1,Wrong direction
2025-11-11T17:33:30.614177+00:00,RU_010,2,Fair/Poor
2025-11-11T17:33:31.288365+00:00,RU_010,3,Fair/Poor
2025-11-11T17:33:31.986718+00:00,RU_010,4,Fair/Poor
2025-11-11T17:33:33.523248+00:00,RU_010,5,Fair/Poor
2025-11-11T17:33:34.139343+00:00,RU_011,1,Right direction
2025-11-11T17:33:34.856087+00:00,RU_011,2,Good
2025-11-11T17:33:35.673401+00:00,RU_011,3,Good
2025-11-11T17:33:36.595540+00:00,RU_011,4,Good
2025-11-11T17:33:36.985940+00:00,RU_011,5,Fair/Poor
2025-11-11T17:33:37.623816+00:00,RU_012,1,Wrong direction
2025-11-11T17:33:38.236278+00:00,RU_012,2,Good
2025-11-11T17:33:38.744401+00:00,RU_012,3,Good
2025-11-11T17:33:39.568305+00:00,RU_012,4,Good
2025-11-11T17:33:40.716354+00:00,RU_012,5,Fair/Poor
2025-11-11T17:33:41.209594+00:00,RU_013,1,Wrong direction
2025-11-11T17:33:41.843438+00:00,RU_013,2,Fair/Poor
2025-11-11T17:33:42.434334+00:00,RU_013,3,Fair/Poor
2025-11-11T17:33:43.119830+00:00,RU_013,4,Fair/Poor
2025-11-11T17:33:43.817725+00:00,RU_013,5,Fair/Poor
2025-11-11T17:33:45.090149+00:00,RU_014,1,No opinion
2025-11-11T17:33:45.810229+00:00,RU_014,2,Good
2025-11-11T17:33:46.387054+00:00,RU_014,3,Fair/Poor
2025-11-11T17:33:47.143601+00:00,RU_014,4,Fair/Poor
2025-11-11T17:33:48.269048+00:00,RU_014,5,Fair/Poor
2025-11-11T17:33:48.884723+00:00,RU_015,1,Wrong direction
2025-11-11T17:33:49.906150+00:00,RU_015,2,Fair/Poor
2025-11-11T17:33:50.625646+00:00,RU_015,3,Fair/Poor
2025-11-11T17:33:51.237564+00:00,RU_015,4,Good
2025-11-11T17:33:52.465992+00:00,RU_015,5,Fair/Poor
2025-11-11T17:33:53.594325+00:00,RU_016,1,Wrong direction
2025-11-11T17:33:54.618029+00:00,RU_016,2,Good
2025-11-11T17:33:55.448257+00:00,RU_016,3,Fair/Poor
2025-11-11T17:33:56.049846+00:00,RU_016,4,Good
2025-11-11T17:33:56.870862+00:00,RU_016,5,Fair/Poor
2025-11-11T17:33:57.894252+00:00,RU_017,1,Wrong direction
2025-11-11T17:33:58.845552+00:00,RU_017,2,Fair/Poor
2025-11-11T17:33:59.538678+00:00,RU_017,3,Fair/Poor
2025-11-11T17:34:00.452049+00:00,RU_017,4,Fair/Poor
2025-11-11T17:34:00.936036+00:00,RU_017,5,Fair/Poor
2025-11-11T17:34:01.989533+00:00,RU_018,1,Wrong direction
2025-11-11T17:34:03.014264+00:00,RU_018,2,Fair/Poor
2025-11-11T17:34:03.731744+00:00,RU_018,3,Fair/Poor
2025-11-11T17:34:07.008045+00:00,RU_018,4,Good
2025-11-11T17:34:07.664513+00:00,RU_018,5,Fair/Poor
2025-11-11T17:34:08.539430+00:00,RU_019,1,Wrong direction
2025-11-11T17:34:09.368957+00:00,RU_019,2,Fair/Poor
2025-11-11T17:34:10.342303+00:00,RU_019,3,Fair/Poor
2025-11-11T17:34:11.001749+00:00,RU_019,4,Fair/Poor
2025-11-11T17:34:11.720899+00:00,RU_019,5,Fair/Poor
2025-11-11T17:34:13.049711+00:00,RU_020,1,Wrong direction
2025-11-11T17:34:13.811303+00:00,RU_020,2,Fair/Poor
2025-11-11T17:34:16.839467+00:00,RU_020,3,Good
2025-11-11T17:34:17.967154+00:00,RU_020,4,Good
2025-11-11T17:34:18.672023+00:00,RU_020,5,Good
2025-11-11T17:34:19.417724+00:00,RU_021,1,Wrong direction
2025-11-11T17:34:20.218761+00:00,RU_021,2,Good
2025-11-11T17:34:21.202234+00:00,RU_021,3,Fair/Poor
2025-11-11T17:34:22.047331+00:00,RU_021,4,Fair/Poor
2025-11-11T17:34:26.156753+00:00,RU_021,5,Fair/Poor
2025-11-11T17:34:26.772323+00:00,RU_022,1,Wrong direction
2025-11-11T17:34:27.487679+00:00,RU_022,2,Good
2025-11-11T17:34:28.921677+00:00,RU_022,3,Fair/Poor
2025-11-11T17:34:29.740229+00:00,RU_022,4,Fair/Poor
2025-11-11T17:34:30.442691+00:00,RU_022,5,Fair/Poor
2025-11-11T17:34:30.968903+00:00,RU_023,1,Wrong direction
2025-11-11T17:34:31.688972+00:00,RU_023,2,Fair/Poor
2025-11-11T17:34:32.200466+00:00,RU_023,3,Fair/Poor
2025-11-11T17:34:33.223296+00:00,RU_023,4,Fair/Poor
2025-11-11T17:34:34.327078+00:00,RU_023,5,Fair/Poor
2025-11-11T17:34:35.367090+00:00,RU_024,1,Wrong direction
2025-11-11T17:34:36.151156+00:00,RU_024,2,Good
2025-11-11T17:34:36.875811+00:00,RU_024,3,Fair/Poor
2025-11-11T17:34:38.078774+00:00,RU_024,4,Good
2025-11-11T17:34:38.972499+00:00,RU_024,5,Fair/Poor
2025-11-11T17:34:39.497084+00:00,RU_025,1,Wrong direction
2025-11-11T17:34:40.018645+00:00,RU_025,2,Fair/Poor
2025-11-11T17:34:40.605183+00:00,RU_025,3,Fair/Poor
2025-11-11T17:34:41.306982+00:00,RU_025,4,Fair/Poor
2025-11-11T17:34:42.468672+00:00,RU_025,5,Fair/Poor
2025-11-11T17:34:42.927058+00:00,RU_026,1,Wrong direction
2025-11-11T17:34:43.520796+00:00,RU_026,2,Good
2025-11-11T17:34:44.213126+00:00,RU_026,3,Fair/Poor
2025-11-11T17:34:49.885764+00:00,RU_026,4,Fair/Poor
2025-11-11T17:34:50.528337+00:00,RU_026,5,Fair/Poor
2025-11-11T17:34:51.043885+00:00,RU_027,1,Wrong direction
2025-11-11T17:34:51.598555+00:00,RU_027,2,Fair/Poor
2025-11-11T17:34:52.090985+00:00,RU_027,3,Fair/Poor
2025-11-11T17:34:52.681224+00:00,RU_027,4,Fair/Poor
2025-11-11T17:34:53.188499+00:00,RU_027,5,Fair/Poor
2025-11-11T17:34:53.858095+00:00,RU_028,1,Right direction
2025-11-11T17:34:54.726796+00:00,RU_028,2,Good
2025-11-11T17:34:55.340331+00:00,RU_028,3,Fair/Poor
2025-11-11T17:34:56.159551+00:00,RU_028,4,Good
2025-11-11T17:34:56.751564+00:00,RU_028,5,Fair/Poor
2025-11-11T17:34:57.591482+00:00,RU_029,1,Wrong direction
2025-11-11T17:34:58.173881+00:00,RU_029,2,Fair/Poor
2025-11-11T17:34:58.827720+00:00,RU_029,3,Fair/Poor
2025-11-11T17:34:59.590454+00:00,RU_029,4,Good
2025-11-11T17:35:00.068802+00:00,RU_029,5,Fair/Poor
2025-11-11T17:35:00.542805+00:00,RU_030,1,Wrong direction
2025-11-11T17:35:01.128209+00:00,RU_030,2,Good
2025-11-11T17:35:02.526095+00:00,RU_030,3,Fair/Poor
2025-11-11T17:35:03.020745+00:00,RU_030,4,Good
2025-11-11T17:35:03.739056+00:00,RU_030,5,Fair/Poor
2025-11-11T17:35:04.350065+00:00,RU_031,1,Wrong direction
2025-11-11T17:35:04.964742+00:00,RU_031,2,Good
2025-11-11T17:35:05.784820+00:00,RU_031,3,Fair/Poor
2025-11-11T17:35:06.604365+00:00,RU_031,4,Good
2025-11-11T17:35:07.484578+00:00,RU_031,5,Fair/Poor
2025-11-11T17:35:08.335209+00:00,RU_032,1,Wrong direction
2025-11-11T17:35:09.163888+00:00,RU_032,2,Fair/Poor
2025-11-11T17:35:09.892876+00:00,RU_032,3,Fair/Poor
2025-11-11T17:35:10.494943+00:00,RU_032,4,Fair/Poor
2025-11-11T17:35:11.211056+00:00,RU_032,5,Fair/Poor
2025-11-11T17:35:12.546336+00:00,RU_033,1,Wrong direction
2025-11-11T17:35:13.157766+00:00,RU_033,2,Fair/Poor
2025-11-11T17:35:13.826001+00:00,RU_033,3,Fair/Poor
2025-11-11T17:35:14.693374+00:00,RU_033,4,Good
2025-11-11T17:35:15.307730+00:00,RU_033,5,Fair/Poor
2025-11-11T17:35:15.820242+00:00,RU_034,1,Wrong direction
2025-11-11T17:35:16.435151+00:00,RU_034,2,Fair/Poor
2025-11-11T17:35:16.946577+00:00,RU_034,3,Fair/Poor
2025-11-11T17:35:17.620530+00:00,RU_034,4,Fair/Poor
2025-11-11T17:35:18.379820+00:00,RU_034,5,Fair/Poor
2025-11-11T17:35:19.199231+00:00,RU_035,1,Wrong direction
2025-11-11T17:35:19.814883+00:00,RU_035,2,Fair/Poor
2025-11-11T17:35:20.530481+00:00,RU_035,3,Fair/Poor
2025-11-11T17:35:21.252146+00:00,RU_035,4,Fair/Poor
2025-11-11T17:35:22.065596+00:00,RU_035,5,Fair/Poor
2025-11-11T17:35:22.990787+00:00,RU_036,1,Wrong direction
2025-11-11T17:35:23.909149+00:00,RU_036,2,Fair/Poor
2025-11-11T17:35:24.421493+00:00,RU_036,3,Fair/Poor
2025-11-11T17:35:25.445466+00:00,RU_036,4,Fair/Poor
2025-11-11T17:35:26.125844+00:00,RU_036,5,Fair/Poor
2025-11-11T17:35:27.083832+00:00,RU_037,1,Wrong direction
2025-11-11T17:35:27.799603+00:00,RU_037,2,Fair/Poor
2025-11-11T17:35:28.298630+00:00,RU_037,3,Fair/Poor
2025-11-11T17:35:28.926314+00:00,RU_037,4,Fair/Poor
2025-11-11T17:35:31.895489+00:00,RU_037,5,Fair/Poor
2025-11-11T17:35:32.364740+00:00,RU_038,1,Wrong direction
2025-11-11T17:35:32.918843+00:00,RU_038,2,Good
2025-11-11T17:35:33.637468+00:00,RU_038,3,Fair/Poor
2025-11-11T17:35:34.150982+00:00,RU_038,4,Good
2025-11-11T17:35:35.193201+00:00,RU_038,5,Fair/Poor
2025-11-11T17:35:35.889540+00:00,RU_039,1,Wrong direction
2025-11-11T17:35:36.816896+00:00,RU_039,2,Good
2025-11-11T17:35:37.324387+00:00,RU_039,3,Good
2025-11-11T17:35:38.145506+00:00,RU_039,4,Fair/Poor
2025-11-11T17:35:38.857667+00:00,RU_039,5,Fair/Poor
2025-11-11T17:35:42.445989+00:00,RU_040,1,Wrong direction
2025-11-11T17:35:43.057593+00:00,RU_040,2,Good
2025-11-11T17:35:44.140226+00:00,RU_040,3,Fair/Poor
2025-11-11T17:35:45.207391+00:00,RU_040,4,Fair/Poor
2025-11-11T17:35:46.157546+00:00,RU_040,5,Fair/Poor
2025-11-11T17:35:46.745605+00:00,RU_041,1,Wrong direction
2025-11-11T17:35:47.565021+00:00,RU_041,2,Fair/Poor
2025-11-11T17:35:48.544194+00:00,RU_041,3,Fair/Poor
2025-11-11T17:35:49.203308+00:00,RU_041,4,Good
2025-11-11T17:35:50.037732+00:00,RU_041,5,Fair/Poor
2025-11-11T17:35:50.765921+00:00,RU_042,1,Wrong direction
2025-11-11T17:35:51.854137+00:00,RU_042,2,Good
2025-11-11T17:35:55.337546+00:00,RU_042,3,Fair/Poor
2025-11-11T17:35:56.081761+00:00,RU_042,4,Fair/Poor
2025-11-11T17:35:56.634407+00:00,RU_042,5,Fair/Poor
2025-11-11T17:36:01.107948+00:00,RU_043,1,Right direction
2025-11-11T17:36:02.153307+00:00,RU_043,2,Fair/Poor
2025-11-11T17:36:02.840182+00:00,RU_043,3,Fair/Poor
2025-11-11T17:36:03.289065+00:00,RU_043,4,Fair/Poor
2025-11-11T17:36:04.490115+00:00,RU_043,5,Fair/Poor
2025-11-11T17:36:04.992191+00:00,RU_044,1,Right direction
2025-11-11T17:36:05.620472+00:00,RU_044,2,Good
2025-11-11T17:36:06.017157+00:00,RU_044,3,Good
2025-11-11T17:36:06.632488+00:00,RU_044,4,Good
2025-11-11T17:36:07.402477+00:00,RU_044,5,Fair/Poor
2025-11-11T17:36:07.991408+00:00,RU_045,1,Wrong direction
2025-11-11T17:36:08.678760+00:00,RU_045,2,Good
2025-11-11T17:36:09.284828+00:00,RU_045,3,Fair/Poor
2025-11-11T17:36:09.896971+00:00,RU_045,4,Good
2025-11-11T17:36:10.405698+00:00,RU_045,5,Fair/Poor
2025-11-11T17:36:10.914444+00:00,RU_046,1,Wrong direction
2025-11-11T17:36:11.736586+00:00,RU_046,2,Good
2025-11-11T17:36:12.388112+00:00,RU_046,3,Fair/Poor
2025-11-11T17:36:12.958355+00:00,RU_046,4,Fair/Poor
2025-11-11T17:36:14.321340+00:00,RU_046,5,Fair/Poor
2025-11-11T17:36:33.241217+00:00,RU_047,1,Wrong direction
2025-11-11T17:36:33.797612+00:00,RU_047,2,Good
2025-11-11T17:36:34.564457+00:00,RU_047,3,Fair/Poor
2025-11-11T17:36:35.383999+00:00,RU_047,4,Fair/Poor
2025-11-11T17:36:36.098560+00:00,RU_047,5,Fair/Poor
2025-11-11T17:36:36.818875+00:00,RU_048,1,Wrong direction
2025-11-11T17:36:37.227211+00:00,RU_048,2,Good
2025-11-11T17:36:37.943728+00:00,RU_048,3,Fair/Poor
2025-11-11T17:36:38.762585+00:00,RU_048,4,Fair/Poor
2025-11-11T17:36:39.887486+00:00,RU_048,5,Fair/Poor
2025-11-11T17:36:41.219369+00:00,RU_049,1,Wrong direction
2025-11-11T17:36:41.732057+00:00,RU_049,2,Good
2025-11-11T17:36:42.451247+00:00,RU_049,3,Fair/Poor
2025-11-11T17:36:43.680606+00:00,RU_049,4,Fair/Poor
2025-11-11T17:36:44.395079+00:00,RU_049,5,Fair/Poor
2025-11-11T17:36:45.008149+00:00,RU_050,1,Wrong direction
2025-11-11T17:36:45.624153+00:00,RU_050,2,Good
2025-11-11T17:36:46.265453+00:00,RU_050,3,Fair/Poor
2025-11-11T17:36:46.851905+00:00,RU_050,4,Good
